source_file,subject,run,trial,memory_cond,event_count,has_fixation,has_work_memory,has_probe,has_feedback,has_to_remember,has_to_ignore,has_probe_target,has_probe_not_shown,accuracy,letters_presented,n_letters,response,feedback,start_sample,end_sample,start_latency,end_latency,expected_14_events,bad_trial
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,,1,3,14,True,True,True,True,True,True,True,False,1.0,D M B Y H Q C G C,9,1,correct,1430,7606,1430.0,7605.52473555,True,False
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,,2,7,14,True,True,True,True,True,True,False,True,1.0,J C F M L K Q W B,9,1,correct,7611,13353,7610.824756774999,13352.747755575,True,False
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,,3,3,14,True,True,True,True,True,True,True,False,1.0,D Y T J M K B F B,9,255,correct,13360,18988,13359.9977846,18987.920326775,True,False
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,,4,7,14,True,True,True,True,True,True,True,False,1.0,C Z L K R G B T Z,9,1,correct,18996,24939,18996.145359725,24939.4691652,True,False
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,,5,7,14,True,True,True,True,True,True,False,True,1.0,X C J H N D P S L,9,1,correct,24947,30713,24946.54419355,30713.042290775,True,False
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,,6,3,14,True,True,True,True,True,True,False,True,1.0,F B C R M J H T S,9,1,correct,30721,36447,30721.192323425,36447.09025802501,True,False
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,,7,3,14,True,True,True,True,True,True,False,True,1.0,S Z F D G W V Q L,9,1,correct,36454,42774,36453.59028405,42774.290601074994,True,False
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,,8,3,14,True,True,True,True,True,True,True,False,1.0,J C L S G V R T V,9,255,correct,42781,49095,42781.165628625,49094.99091812501,True,False
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,,9,3,14,True,True,True,True,True,True,True,False,1.0,Q P J T Z K D C J,9,1,correct,49100,55824,49100.24093915,55824.317871875,True,False
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,,10,3,14,True,True,True,True,True,True,True,False,1.0,P T Z Q V B X G V,9,1,correct,55830,63496,55830.24289559999,63496.19860095,True,False
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,,11,5,14,True,True,True,True,True,True,True,False,1.0,L G Q F Z T R M L,9,1,correct,63503,71043,63502.873627675006,71042.82882835,True,False
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,,12,5,14,True,True,True,True,True,True,True,False,1.0,S C G P F M J L G,9,1,correct,71050,77535,71049.753856075,77534.8548316,True,False
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,,13,5,14,True,True,True,True,True,True,True,False,1.0,B H D R N Z V L R,9,1,correct,77541,85240,77540.80485545,85239.635692475,True,False
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,,14,7,14,True,True,True,True,True,True,False,True,1.0,W Z V D F X M Y G,9,1,correct,85247,92351,85247.1857227,92351.4141781,True,False
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,,15,3,14,True,True,True,True,True,True,True,False,1.0,J Q D H X G C W D,9,1,correct,92358,99813,92358.139205025,99812.544063025,True,False
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,,16,5,14,True,True,True,True,True,True,False,True,1.0,K W Z Q D C M P J,9,1,correct,99817,106496,99817.29408205,106495.995833025,True,False
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,,17,5,14,True,True,True,True,True,True,True,False,1.0,D C L S J K H V L,9,255,correct,106501,112540,106501.04585325,112540.12004225,True,False
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,,18,7,14,True,True,True,True,True,True,True,False,1.0,W K M C Q G B T B,9,255,correct,112548,118189,112547.6700725,118188.69266715,True,False
