subject,files,runs,trials,bad_trials,accuracy
sub-001,2,0,25,0,0.94
sub-002,4,0,25,0,1.0
sub-003,4,0,26,0,0.9900990099009901
sub-004,4,0,26,1,0.9306930693069307
sub-005,4,0,25,0,0.96
sub-006,4,0,25,4,0.9
sub-007,4,0,25,0,0.99
sub-008,4,0,25,1,0.92
sub-009,4,0,26,0,0.9702970297029703
sub-010,4,0,25,0,0.95
sub-011,4,0,25,0,0.95
sub-012,3,0,25,0,1.0
sub-014,3,0,25,4,0.8933333333333333
sub-015,3,0,25,1,0.9466666666666667
sub-016,3,0,25,0,0.96
sub-017,3,0,25,2,0.9726027397260274
sub-018,3,0,25,0,0.96
sub-019,3,0,25,0,0.9333333333333333
sub-020,3,0,25,0,0.9733333333333334
sub-021,3,0,26,0,0.9868421052631579
sub-022,6,0,25,3,0.9264705882352942
sub-023,5,0,26,0,0.9603174603174603
sub-024,3,0,25,0,0.41333333333333333
