subject,run,set_file,set_exists,set_readable,fdt_exists,fdt_size_MB,nbchan,pnts,trials,srate,xmin,xmax,duration_sec,datfile,events_raw,remember_events,ignore_events,event_types,file_format,error
sub-002,1,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,True,True,True,49.05544662475586,71.0,181121.0,1.0,250.0,0.0,724.48,724.484,sub-002_ses-01_task-WorkingMemory_run-1_eeg.fdt,0,0,0,,MATLAB v7.3 / HDF5,
sub-002,2,sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,True,True,True,51.662044525146484,71.0,190745.0,1.0,250.0,0.0,762.976,762.98,sub-002_ses-01_task-WorkingMemory_run-2_eeg.fdt,0,0,0,,MATLAB v7.3 / HDF5,
sub-002,3,sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,True,True,True,51.792320251464844,71.0,191226.0,1.0,250.0,0.0,764.9,764.904,sub-002_ses-01_task-WorkingMemory_run-3_eeg.fdt,0,0,0,,MATLAB v7.3 / HDF5,
sub-002,4,sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,True,True,True,49.118553161621094,71.0,181354.0,1.0,250.0,0.0,725.412,725.416,sub-002_ses-01_task-WorkingMemory_run-4_eeg.fdt,0,0,0,,MATLAB v7.3 / HDF5,
sub-003,1,sub-003_ses-01_task-WorkingMemory_run-1_eeg.set,True,True,True,49.23691177368164,71.0,181791.0,1.0,250.0,0.0,727.16,727.164,sub-003_ses-01_task-WorkingMemory_run-1_eeg.fdt,0,0,0,,MATLAB v7.3 / HDF5,
sub-003,2,sub-003_ses-01_task-WorkingMemory_run-2_eeg.set,True,True,True,53.08505630493164,71.0,195999.0,1.0,250.0,0.0,783.992,783.996,sub-003_ses-01_task-WorkingMemory_run-2_eeg.fdt,0,0,0,,MATLAB v7.3 / HDF5,
sub-003,3,sub-003_ses-01_task-WorkingMemory_run-3_eeg.set,True,True,True,53.10834884643555,71.0,196085.0,1.0,250.0,0.0,784.336,784.34,sub-003_ses-01_task-WorkingMemory_run-3_eeg.fdt,0,0,0,,MATLAB v7.3 / HDF5,
sub-003,4,sub-003_ses-01_task-WorkingMemory_run-4_eeg.set,True,True,True,45.56156539916992,71.0,168221.0,1.0,250.0,0.0,672.88,672.884,sub-003_ses-01_task-WorkingMemory_run-4_eeg.fdt,0,0,0,,MATLAB v7.3 / HDF5,
sub-004,1,sub-004_ses-01_task-WorkingMemory_run-1_eeg.set,True,True,True,45.572940826416016,71.0,168263.0,1.0,250.0,0.0,673.048,673.052,sub-004_ses-01_task-WorkingMemory_run-1_eeg.fdt,0,0,0,,MATLAB v7.3 / HDF5,
sub-004,2,sub-004_ses-01_task-WorkingMemory_run-2_eeg.set,True,True,True,49.854434967041016,71.0,184071.0,1.0,250.0,0.0,736.28,736.284,sub-004_ses-01_task-WorkingMemory_run-2_eeg.fdt,0,0,0,,MATLAB v7.3 / HDF5,
sub-004,3,sub-004_ses-01_task-WorkingMemory_run-3_eeg.set,True,True,True,42.97528076171875,71.0,158672.0,1.0,250.0,0.0,634.684,634.688,sub-004_ses-01_task-WorkingMemory_run-3_eeg.fdt,0,0,0,,MATLAB v7.3 / HDF5,
sub-004,4,sub-004_ses-01_task-WorkingMemory_run-4_eeg.set,True,True,True,44.7476806640625,71.0,165216.0,1.0,250.0,0.0,660.86,660.864,sub-004_ses-01_task-WorkingMemory_run-4_eeg.fdt,0,0,0,,MATLAB v7.3 / HDF5,
sub-005,1,sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,True,True,True,40.580753326416016,71.0,149831.0,1.0,250.0,0.0,599.32,599.324,sub-005_ses-01_task-WorkingMemory_run-1_eeg.fdt,0,0,0,,MATLAB v7.3 / HDF5,
sub-005,2,sub-005_ses-01_task-WorkingMemory_run-2_eeg.set,True,True,True,41.568790435791016,71.0,153479.0,1.0,250.0,0.0,613.912,613.916,sub-005_ses-01_task-WorkingMemory_run-2_eeg.fdt,0,0,0,,MATLAB v7.3 / HDF5,
