subject,total_epochs,remember_trials,ignore_trials,runs,usable_trials,remember_ignore_ratio,condition_difference,QC_status
sub-001,555,0,0,2,0,,0,RED_NO_CONDITION_TRIALS
sub-002,1193,0,0,4,0,,0,RED_NO_CONDITION_TRIALS
sub-003,1187,0,0,4,0,,0,RED_NO_CONDITION_TRIALS
sub-004,780,0,0,3,0,,0,RED_NO_CONDITION_TRIALS
sub-005,1296,0,0,4,0,,0,RED_NO_CONDITION_TRIALS
sub-006,240,0,0,4,0,,0,RED_NO_CONDITION_TRIALS
sub-007,951,0,0,4,0,,0,RED_NO_CONDITION_TRIALS
sub-008,1083,0,0,4,0,,0,RED_NO_CONDITION_TRIALS
sub-009,1336,0,0,4,0,,0,RED_NO_CONDITION_TRIALS
sub-010,996,0,0,4,0,,0,RED_NO_CONDITION_TRIALS
sub-011,1397,0,0,4,0,,0,RED_NO_CONDITION_TRIALS
sub-012,528,0,0,3,0,,0,RED_NO_CONDITION_TRIALS
sub-014,991,0,0,3,0,,0,RED_NO_CONDITION_TRIALS
sub-015,376,0,0,3,0,,0,RED_NO_CONDITION_TRIALS
sub-016,507,0,0,3,0,,0,RED_NO_CONDITION_TRIALS
sub-017,498,0,0,3,0,,0,RED_NO_CONDITION_TRIALS
sub-018,976,0,0,3,0,,0,RED_NO_CONDITION_TRIALS
sub-019,1026,0,0,3,0,,0,RED_NO_CONDITION_TRIALS
sub-020,981,0,0,3,0,,0,RED_NO_CONDITION_TRIALS
sub-021,959,0,0,3,0,,0,RED_NO_CONDITION_TRIALS
sub-022,1892,0,0,6,0,,0,RED_NO_CONDITION_TRIALS
sub-023,1751,0,0,5,0,,0,RED_NO_CONDITION_TRIALS
sub-024,317,0,0,3,0,,0,RED_NO_CONDITION_TRIALS
