subject,run,file,n_epochs,n_channels,n_times,sfreq,tmin,tmax,n_event_codes
sub-001,run-01,sub-001_run-01_harmonized_epo.fif,258,71,501,500.0,-0.2,0.8,6
sub-001,run-02,sub-001_run-02_harmonized_epo.fif,297,71,501,500.0,-0.2,0.8,6
sub-002,run-01,sub-002_run-01_harmonized_epo.fif,295,71,501,500.0,-0.2,0.8,6
sub-002,run-02,sub-002_run-02_harmonized_epo.fif,321,71,501,500.0,-0.2,0.8,6
sub-002,run-03,sub-002_run-03_harmonized_epo.fif,290,71,501,500.0,-0.2,0.8,6
sub-002,run-04,sub-002_run-04_harmonized_epo.fif,287,71,501,500.0,-0.2,0.8,6
sub-003,run-01,sub-003_run-01_harmonized_epo.fif,278,71,501,500.0,-0.2,0.8,6
sub-003,run-02,sub-003_run-02_harmonized_epo.fif,286,71,501,500.0,-0.2,0.8,6
sub-003,run-03,sub-003_run-03_harmonized_epo.fif,321,71,501,500.0,-0.2,0.8,6
sub-003,run-04,sub-003_run-04_harmonized_epo.fif,302,71,501,500.0,-0.2,0.8,7
sub-004,run-01,sub-004_run-01_harmonized_epo.fif,119,71,501,500.0,-0.2,0.8,6
sub-004,run-03,sub-004_run-03_harmonized_epo.fif,323,71,501,500.0,-0.2,0.8,7
sub-004,run-04,sub-004_run-04_harmonized_epo.fif,338,71,501,500.0,-0.2,0.8,7
sub-005,run-01,sub-005_run-01_harmonized_epo.fif,323,71,501,500.0,-0.2,0.8,5
sub-005,run-02,sub-005_run-02_harmonized_epo.fif,323,71,501,500.0,-0.2,0.8,5
sub-005,run-03,sub-005_run-03_harmonized_epo.fif,325,71,501,500.0,-0.2,0.8,5
sub-005,run-04,sub-005_run-04_harmonized_epo.fif,325,71,501,500.0,-0.2,0.8,5
sub-006,run-01,sub-006_run-01_harmonized_epo.fif,98,71,501,500.0,-0.2,0.8,6
sub-006,run-02,sub-006_run-02_harmonized_epo.fif,56,71,501,500.0,-0.2,0.8,4
sub-006,run-03,sub-006_run-03_harmonized_epo.fif,53,71,501,500.0,-0.2,0.8,5
sub-006,run-04,sub-006_run-04_harmonized_epo.fif,33,71,501,500.0,-0.2,0.8,4
sub-007,run-01,sub-007_run-01_harmonized_epo.fif,194,71,501,500.0,-0.2,0.8,6
sub-007,run-02,sub-007_run-02_harmonized_epo.fif,237,71,501,500.0,-0.2,0.8,6
sub-007,run-03,sub-007_run-03_harmonized_epo.fif,260,71,501,500.0,-0.2,0.8,6
sub-007,run-04,sub-007_run-04_harmonized_epo.fif,260,71,501,500.0,-0.2,0.8,6
sub-008,run-01,sub-008_run-01_harmonized_epo.fif,188,71,501,500.0,-0.2,0.8,7
sub-008,run-02,sub-008_run-02_harmonized_epo.fif,249,71,501,500.0,-0.2,0.8,7
sub-008,run-03,sub-008_run-03_harmonized_epo.fif,327,71,501,500.0,-0.2,0.8,7
sub-008,run-04,sub-008_run-04_harmonized_epo.fif,319,71,501,500.0,-0.2,0.8,7
sub-009,run-01,sub-009_run-01_harmonized_epo.fif,336,71,501,500.0,-0.2,0.8,7
sub-009,run-02,sub-009_run-02_harmonized_epo.fif,328,71,501,500.0,-0.2,0.8,7
sub-009,run-03,sub-009_run-03_harmonized_epo.fif,321,71,501,500.0,-0.2,0.8,6
sub-009,run-04,sub-009_run-04_harmonized_epo.fif,351,71,501,500.0,-0.2,0.8,6
sub-010,run-01,sub-010_run-01_harmonized_epo.fif,288,71,501,500.0,-0.2,0.8,7
sub-010,run-02,sub-010_run-02_harmonized_epo.fif,249,71,501,500.0,-0.2,0.8,7
sub-010,run-03,sub-010_run-03_harmonized_epo.fif,234,71,501,500.0,-0.2,0.8,7
sub-010,run-04,sub-010_run-04_harmonized_epo.fif,225,71,501,500.0,-0.2,0.8,6
sub-011,run-01,sub-011_run-01_harmonized_epo.fif,350,71,501,500.0,-0.2,0.8,6
sub-011,run-02,sub-011_run-02_harmonized_epo.fif,349,71,501,500.0,-0.2,0.8,8
sub-011,run-03,sub-011_run-03_harmonized_epo.fif,350,71,501,500.0,-0.2,0.8,7
sub-011,run-04,sub-011_run-04_harmonized_epo.fif,348,71,501,500.0,-0.2,0.8,7
sub-012,run-01,sub-012_run-01_harmonized_epo.fif,194,71,501,500.0,-0.2,0.8,6
sub-012,run-02,sub-012_run-02_harmonized_epo.fif,160,71,501,500.0,-0.2,0.8,6
sub-012,run-03,sub-012_run-03_harmonized_epo.fif,174,71,501,500.0,-0.2,0.8,5
sub-014,run-01,sub-014_run-01_harmonized_epo.fif,331,71,501,500.0,-0.2,0.8,7
sub-014,run-02,sub-014_run-02_harmonized_epo.fif,328,71,501,500.0,-0.2,0.8,7
sub-014,run-03,sub-014_run-03_harmonized_epo.fif,332,71,501,500.0,-0.2,0.8,7
sub-015,run-01,sub-015_run-01_harmonized_epo.fif,134,71,501,500.0,-0.2,0.8,6
sub-015,run-02,sub-015_run-02_harmonized_epo.fif,143,71,501,500.0,-0.2,0.8,6
sub-015,run-03,sub-015_run-03_harmonized_epo.fif,99,71,501,500.0,-0.2,0.8,7
sub-016,run-01,sub-016_run-01_harmonized_epo.fif,183,71,501,500.0,-0.2,0.8,7
sub-016,run-02,sub-016_run-02_harmonized_epo.fif,159,71,501,500.0,-0.2,0.8,5
sub-016,run-03,sub-016_run-03_harmonized_epo.fif,165,71,501,500.0,-0.2,0.8,6
sub-017,run-01,sub-017_run-01_harmonized_epo.fif,121,71,501,500.0,-0.2,0.8,6
sub-017,run-02,sub-017_run-02_harmonized_epo.fif,184,71,501,500.0,-0.2,0.8,7
sub-017,run-03,sub-017_run-03_harmonized_epo.fif,193,71,501,500.0,-0.2,0.8,7
sub-018,run-01,sub-018_run-01_harmonized_epo.fif,283,71,501,500.0,-0.2,0.8,7
sub-018,run-02,sub-018_run-02_harmonized_epo.fif,347,71,501,500.0,-0.2,0.8,7
sub-018,run-03,sub-018_run-03_harmonized_epo.fif,346,71,501,500.0,-0.2,0.8,7
sub-019,run-01,sub-019_run-01_harmonized_epo.fif,348,71,501,500.0,-0.2,0.8,7
sub-019,run-02,sub-019_run-02_harmonized_epo.fif,341,71,501,500.0,-0.2,0.8,6
sub-019,run-03,sub-019_run-03_harmonized_epo.fif,337,71,501,500.0,-0.2,0.8,7
sub-020,run-01,sub-020_run-01_harmonized_epo.fif,340,71,501,500.0,-0.2,0.8,7
sub-020,run-02,sub-020_run-02_harmonized_epo.fif,307,71,501,500.0,-0.2,0.8,6
sub-020,run-03,sub-020_run-03_harmonized_epo.fif,334,71,501,500.0,-0.2,0.8,7
sub-021,run-01,sub-021_run-01_harmonized_epo.fif,328,71,501,500.0,-0.2,0.8,6
sub-021,run-02,sub-021_run-02_harmonized_epo.fif,333,71,501,500.0,-0.2,0.8,7
sub-021,run-03,sub-021_run-03_harmonized_epo.fif,298,71,501,500.0,-0.2,0.8,6
sub-022,run-01,sub-022_run-01_harmonized_epo.fif,307,71,501,500.0,-0.2,0.8,7
sub-022,run-02,sub-022_run-02_harmonized_epo.fif,195,71,501,500.0,-0.2,0.8,6
sub-022,run-03,sub-022_run-03_harmonized_epo.fif,350,71,501,500.0,-0.2,0.8,7
sub-022,run-04,sub-022_run-04_harmonized_epo.fif,350,71,501,500.0,-0.2,0.8,7
sub-022,run-05,sub-022_run-05_harmonized_epo.fif,350,71,501,500.0,-0.2,0.8,7
sub-022,run-06,sub-022_run-06_harmonized_epo.fif,340,71,501,500.0,-0.2,0.8,7
sub-023,run-01,sub-023_run-01_harmonized_epo.fif,351,71,501,500.0,-0.2,0.8,7
sub-023,run-02,sub-023_run-02_harmonized_epo.fif,350,71,501,500.0,-0.2,0.8,7
sub-023,run-03,sub-023_run-03_harmonized_epo.fif,350,71,501,500.0,-0.2,0.8,7
sub-023,run-04,sub-023_run-04_harmonized_epo.fif,350,71,501,500.0,-0.2,0.8,7
sub-023,run-05,sub-023_run-05_harmonized_epo.fif,350,71,501,500.0,-0.2,0.8,6
sub-024,run-01,sub-024_run-01_harmonized_epo.fif,155,71,501,500.0,-0.2,0.8,6
sub-024,run-02,sub-024_run-02_harmonized_epo.fif,85,71,501,500.0,-0.2,0.8,6
sub-024,run-03,sub-024_run-03_harmonized_epo.fif,77,71,501,500.0,-0.2,0.8,5
