band,ROI,n_channels,n_significant_FDR,percent_significant,mean_cohens_d_all,mean_cohens_d_significant,median_cohens_d_significant,strongest_channel,strongest_cohens_d
THETA,Frontal,16,14,87.5,-0.3044703259805598,-0.32874681906047354,-0.3484798924236796,F10,-0.4199289388005332
THETA,FrontoCentral,6,6,100.0,-0.4294203854567596,-0.4294203854567596,-0.4355003072901319,FC5,-0.48214761210602747
THETA,Central,6,5,83.33333333333333,-0.3768786883068557,-0.4298877343621667,-0.44267223916076137,C5,-0.4781067733870175
THETA,CentroParietal,6,5,83.33333333333333,-0.31139021473272016,-0.3436797409722769,-0.369433240377078,CP3,-0.41176204783451864
THETA,Parietal,8,5,62.5,-0.2552949178254753,-0.2945285190438608,-0.2934020526319174,P1,-0.33898670294561534
THETA,ParietoOccipital,6,6,100.0,-0.2548888704578316,-0.2548888704578316,-0.24854306806766585,PO3,-0.2980538855606852
THETA,Occipital,2,1,50.0,-0.19093080150925007,-0.2653089929756351,-0.2653089929756351,O1,-0.2653089929756351
THETA,Temporal,10,7,70.0,-0.303888663528098,-0.3579722964791708,-0.3452106674829429,FT7,-0.4648579578059069
THETA,Midline,9,6,66.66666666666667,-0.2924103377891134,-0.36300100141541014,-0.34929405747122866,FCZ,-0.43056291385983214
ALPHA,Frontal,16,0,0.0,-0.07561362801696776,,,None,
ALPHA,FrontoCentral,6,0,0.0,-0.11630408160615319,,,None,
ALPHA,Central,6,0,0.0,-0.1701306254232288,,,None,
ALPHA,CentroParietal,6,2,33.333333333333336,-0.15606800598689313,-0.30426920785659023,-0.30426920785659023,CP5,-0.31381031094352624
ALPHA,Parietal,8,6,75.0,-0.36461308034895734,-0.4104618039430816,-0.4102339928976809,P8,-0.503979647425677
ALPHA,ParietoOccipital,6,5,83.33333333333333,-0.43153685388116886,-0.4638000671775829,-0.4937620777179607,PO8,-0.5475333561281419
ALPHA,Occipital,2,1,50.0,-0.24092343500546848,-0.41287373002511685,-0.41287373002511685,O1,-0.41287373002511685
ALPHA,Temporal,10,4,40.0,-0.2410862898603098,-0.3489109490394774,-0.35204136789250506,TP10,-0.4054729486287948
ALPHA,Midline,9,1,11.11111111111111,-0.15157726869316737,-0.3547959551716315,-0.3547959551716315,POZ,-0.3547959551716315
BETA,Frontal,16,0,0.0,-0.06757862876428995,,,None,
BETA,FrontoCentral,6,0,0.0,-0.05562153725656988,,,None,
BETA,Central,6,0,0.0,-0.045308131207645104,,,None,
BETA,CentroParietal,6,0,0.0,-0.033814875661844414,,,None,
BETA,Parietal,8,0,0.0,-0.03131701029153762,,,None,
BETA,ParietoOccipital,6,0,0.0,-0.058704466093484904,,,None,
BETA,Occipital,2,0,0.0,-0.05695614291893666,,,None,
BETA,Temporal,10,0,0.0,-0.07604275707692329,,,None,
BETA,Midline,9,0,0.0,-0.06491672340394043,,,None,
