band,ROI,n_channels,channels,n_remember,n_ignore,mean_log10_power_remember,mean_log10_power_ignore,difference_remember_minus_ignore,t,p,cohens_d,p_fdr,significant_fdr
theta,Frontal,16,"AF7, AF3, AFZ, AF4, AF8, F7, F5, F3, F1, FZ, F2, F4, F6, F8, F9, F10",248,152,0.2902446500950956,0.4005924056231347,-0.1103477555280391,-4.725216570194378,3.5943036220998934e-06,-0.5017358191481142,1.0782910866299681e-05,True
theta,FrontoCentral,6,"FC5, FC3, FC1, FCZ, FC2, FC4",248,152,0.36156982744353344,0.47331595646220476,-0.11174612901867131,-4.838449964500363,2.0880786410485776e-06,-0.5067086614232725,9.3963538847186e-06,True
theta,Central,6,"C5, C3, C1, CZ, C2, C4",248,152,0.2967991739143765,0.4050406421499455,-0.10824146823556902,-4.612171004614081,5.830464535993195e-06,-0.4790950984802292,1.311854520598469e-05,True
theta,CentroParietal,6,"CP5, CP3, CP1, CPZ, CP2, CP4",248,152,0.29347492986462703,0.38800173330581783,-0.0945268034411908,-3.708507988367633,0.0002464106067147441,-0.38395576348690036,0.0003696159100721162,True
theta,Parietal,9,"P7, P5, P3, P1, PZ, P2, P4, P6, P8",248,152,0.36540240138535973,0.44452151173281496,-0.07911911034745522,-3.1856235867320546,0.0015803269173603094,-0.3232913676719927,0.0018894995172265465,True
theta,ParietoOccipital,7,"PO7, PO3, POZ, PO4, PO8, PO9, PO10",248,152,0.3081999705056977,0.38611332545948956,-0.07791335495379187,-3.1664957116851644,0.0016795551264235967,-0.3174030981618432,0.0018894995172265465,True
theta,Occipital,3,"O1, OZ, O2",248,152,0.26292731506067457,0.3710636751894125,-0.10813636012873795,-4.460910954144242,1.1915991461552423e-05,-0.48084007068661977,2.144878463079436e-05,True
theta,Temporal,10,"FT7, FT9, T7, TP7, TP9, TP8, TP10, T8, FT8, FT10",248,152,0.3449139704801705,0.41956726329069227,-0.0746532928105218,-3.087304813155084,0.002196554310293945,-0.3178902012890138,0.002196554310293945,True
theta,Midline,8,"AFZ, FZ, FCZ, CZ, CPZ, PZ, POZ, OZ",248,152,0.29027279704681996,0.39922044635451354,-0.10894764930769357,-4.901514030396909,1.5800224221931376e-06,-0.5188504534169486,9.3963538847186e-06,True
alpha,Frontal,16,"AF7, AF3, AFZ, AF4, AF8, F7, F5, F3, F1, FZ, F2, F4, F6, F8, F9, F10",248,152,0.33217000756826814,0.3367993201405173,-0.0046293125722491335,-0.1766793247888129,0.8598861470722976,-0.018851849536366663,0.8598861470722976,False
alpha,FrontoCentral,6,"FC5, FC3, FC1, FCZ, FC2, FC4",248,152,0.36061547876719163,0.37761814292539314,-0.017002664158201508,-0.6348013656380194,0.5260755474498585,-0.06799654633656395,0.5918349908810908,False
alpha,Central,6,"C5, C3, C1, CZ, C2, C4",248,152,0.3781459110809053,0.42725806598739635,-0.04911215490649107,-1.90460991803421,0.057768910979670796,-0.19883466959388185,0.0866533664695062,False
alpha,CentroParietal,6,"CP5, CP3, CP1, CPZ, CP2, CP4",248,152,0.6089451949226087,0.6723941401471771,-0.06344894522456845,-2.089732707383342,0.03741899542058814,-0.2141122074429349,0.07069318300690401,False
alpha,Parietal,9,"P7, P5, P3, P1, PZ, P2, P4, P6, P8",248,152,0.7479807464002737,0.8362709736250098,-0.08829022722473612,-2.7990634789889413,0.0054460995313005784,-0.29095448394744483,0.024507447890852605,True
alpha,ParietoOccipital,7,"PO7, PO3, POZ, PO4, PO8, PO9, PO10",248,152,0.7212665169869689,0.8271384767028407,-0.10587195971587182,-3.0859986656780816,0.0022112647602776257,-0.32059713475109264,0.019901382842498632,True
alpha,Occipital,3,"O1, OZ, O2",248,152,0.4739019037975579,0.5328218594200781,-0.05891995562252017,-2.0700047992449986,0.03927399055939112,-0.21475208384434802,0.07069318300690401,False
alpha,Temporal,10,"FT7, FT9, T7, TP7, TP9, TP8, TP10, T8, FT8, FT10",248,152,0.5903031742798518,0.6373889436122306,-0.047085769332378846,-1.706913066796544,0.08888764611842775,-0.1799793163333788,0.11428411643797853,False
alpha,Midline,8,"AFZ, FZ, FCZ, CZ, CPZ, PZ, POZ, OZ",248,152,0.5015030275529292,0.5603045612397274,-0.05880153368679819,-2.225176028194863,0.02677386995240494,-0.22987474198910987,0.07069318300690401,False
beta,Frontal,16,"AF7, AF3, AFZ, AF4, AF8, F7, F5, F3, F1, FZ, F2, F4, F6, F8, F9, F10",248,152,-0.08098207281609887,-0.05747407646598203,-0.02350799635011684,-0.833373726093654,0.4052803923217303,-0.0868384119451532,0.6079205884825954,False
beta,FrontoCentral,6,"FC5, FC3, FC1, FCZ, FC2, FC4",248,152,-0.0481309491754291,-0.032967189919223275,-0.015163759256205826,-0.5460400024853143,0.5854390089002826,-0.05711021935898781,0.6444867138562175,False
beta,Central,6,"C5, C3, C1, CZ, C2, C4",248,152,-0.05763944948701238,-0.044876911103304586,-0.012762538383707792,-0.46189585619348145,0.6444867138562175,-0.048321547880270536,0.6444867138562175,False
