channel,t,p,p_fdr,cohens_d,significant_fdr
PO8,-4.658571262045315,5.701943499653904e-06,0.0003934341014761194,-0.5475333561281419,True
P8,-4.379797610577646,1.8355442223383603e-05,0.0006134098281449931,-0.503979647425677,True
PO9,-4.291322448423608,2.6669992528043177e-05,0.0006134098281449931,-0.4950313920106364,True
PO10,-4.182172564546757,4.290129852224807e-05,0.0007400473995087791,-0.4937620777179607,True
P6,-4.074819726435938,6.300982434749035e-05,0.0008695355759953668,-0.45988711895055046,True
PO7,-3.743067177647814,0.00023231269378922825,0.0026529344654916335,-0.4317039419905903,True
P5,-3.7006194722434036,0.0002691382791078469,0.0026529344654916335,-0.4203466589089563,True
O1,-3.486569648797014,0.0006003972466188982,0.0037661281833367252,-0.41287373002511685,True
TP10,-3.5595069618460764,0.0004520775888730985,0.003465928181360422,-0.4054729486287948,True
TP8,-3.5720746344262313,0.0004310238017425864,0.003465928181360422,-0.40539880620201746,True
P7,-3.5124110498372025,0.0005352868148479501,0.003693479022450856,-0.4001213268864056,True
P3,-3.2688011842837903,0.0012397019546218043,0.007128286239075375,-0.3675590279205849,True
POZ,-3.0180068261316375,0.0028651270101729374,0.01520721259245636,-0.3547959551716315,True
PO3,-2.9814239329170107,0.003215817541032463,0.015849386452231422,-0.35096956804058493,True
CP5,-2.7999196810547042,0.005526610313307753,0.025422407441215666,-0.31381031094352624,True
P1,-2.7414783101102658,0.006594226744853841,0.028437602837182187,-0.31087704356631546,True
TP9,-2.6622271963979784,0.008287943319465196,0.031770449391283255,-0.29868392958299267,True
CP3,-2.674188419309707,0.007976074843505277,0.031770449391283255,-0.2947281047696542,True
T8,-2.587250497072027,0.010236285083390828,0.03717387740810354,-0.2860881117441048,True
PZ,-2.397305075851554,0.01732514269577955,0.05433794754585405,-0.2733703393866959,False
PO4,-2.4171549142634956,0.016380884566154916,0.053822906431651864,-0.27022078739909877,False
C5,-2.4251008269191914,0.0160172481834121,0.053822906431651864,-0.26912623523060464,False
TP7,-2.36434613830165,0.018852179044042877,0.05655653713212863,-0.2644881956573531,False
P2,-2.1211402567822155,0.035009171205403665,0.09662531252691411,-0.24293732818429842,False
C3,-2.1950688177889672,0.029042117622239075,0.08349608816393735,-0.2403343192873112,False
P4,-1.8684296666755158,0.06295272170887042,0.14978406199696756,-0.2111964909488708,False
C1,-1.962728487826612,0.050679680423603574,0.13449607497033256,-0.211074933125006,False
T7,-1.8976918688357478,0.058903050832051954,0.1490397062593515,-0.21102358647583422,False
CP1,-1.8852535150871208,0.06047988080089627,0.1490397062593515,-0.2047807906725122,False
FT10,-1.6927788518030324,0.09170538154087372,0.21092237754400958,-0.1858434463452661,False
C6,-1.6139559734957072,0.10757594262049498,0.23944322712303723,-0.1688656911543851,False
CPZ,-1.518497920207641,0.1300434705495365,0.2804062333724381,-0.16382853295880456,False
FT8,-1.472626071351043,0.14194051991421425,0.2967847234569934,-0.15636541347237654,False
CZ,-1.3854183524044297,0.16693066293223097,0.33877105124482165,-0.1444785284523041,False
F4,-1.3338785236312263,0.18326656713760311,0.3563792263025206,-0.14051455159497378,False
FCZ,-1.3012521805505108,0.19421388517255922,0.35843103762607204,-0.13836147618266134,False
FC2,-1.325641285215432,0.1859369876360977,0.3563792263025206,-0.13792559296596588,False
F6,-1.2917427506508055,0.19739680333030055,0.35843103762607204,-0.13379868155730976,False
FC5,-1.1619950212705012,0.24623484530754636,0.4247551081555174,-0.12481119027239845,False
FC6,-1.2068124847218171,0.228377870486262,0.40405315547569437,-0.12345913123257561,False
FT7,-1.030960263658893,0.3034416677700454,0.4879717675718003,-0.11020613960688522,False
FP1,-1.0347780932441764,0.30159837406147016,0.4879717675718003,-0.10835351871929592,False
CP2,-0.9949506014848706,0.320606995241154,0.4879717675718003,-0.10616858048239221,False
F2,-0.9900799748000069,0.3229546167700242,0.4879717675718003,-0.1047912759559568,False
FC1,-0.979669721268442,0.32808405678719876,0.4879717675718003,-0.10458713525891077,False
FC3,-0.9709889309815514,0.3323865663170234,0.4879717675718003,-0.10386131432450095,False
FC4,-1.0079945465117426,0.31420478301311516,0.4879717675718003,-0.10318012558256753,False
AFZ,-0.8654039117261089,0.38750457877452477,0.5532059952871972,-0.09070631490348463,False
FZ,-0.8270423841741754,0.4088913878209718,0.5532059952871972,-0.08765464129957969,False
FT9,-0.8324757052532707,0.405799736165565,0.5532059952871972,-0.08729232088747317,False
F10,-0.8418041561254977,0.40054061898576077,0.5532059952871972,-0.08727656606234865,False
AF3,-0.7799236576574143,0.43604966528171935,0.5564376722827427,-0.08185039301014274,False
F1,-0.7606462961143176,0.447489731902944,0.5564376722827427,-0.0808046404916835,False
AF7,-0.7659381177138691,0.4443214718773849,0.5564376722827427,-0.08066625508804365,False
F5,-0.7503356059375188,0.4536596895677281,0.5564376722827427,-0.07953312432746781,False
F3,-0.7403888253202848,0.45966590319009176,0.5564376722827427,-0.07863476713518826,False
C4,-0.7483452739414469,0.45477062010916647,0.5564376722827427,-0.0756196911210427,False
O2,-0.6658150132672461,0.5060186490768588,0.6019877032121251,-0.06897313998582008,False
OZ,-0.6488641661369121,0.5168848488051547,0.6044924502975538,-0.06650007340827169,False
F7,-0.6066246067855857,0.5445580685817246,0.6262417788689834,-0.06366261461629945,False
F9,-0.5655493312948878,0.5720954177164904,0.6471200561676022,-0.05817710319966647,False
C2,-0.5434330290362345,0.5872060331703913,0.6471200561676022,-0.05576288262102307,False
FP2,-0.5381589069449303,0.5908487469356367,0.6471200561676022,-0.055738780281992695,False
FPZ,-0.43565570443180623,0.6633729943962965,0.7151990095835071,-0.0444995564750728,False
AF8,-0.40190297243782963,0.6880165955891141,0.730356078394598,-0.04102728210171025,False
CP4,-0.20867642972040953,0.8348402013621767,0.8727874832422756,-0.021805673337505223,False
AF4,-0.12804056834385302,0.8981937888417134,0.9250055437325109,-0.01299603389776028,False
CP6,0.04731298941956019,0.962293568446741,0.9764449444533106,0.004885424284231326,False
F8,-0.019745303975833895,0.9842581150820902,0.9842581150820902,-0.0019924602316442968,False
