channel,t,p,p_fdr,cohens_d,significant_fdr
FT10,-1.1251194559948523,0.26180492599251864,0.8534778014455435,-0.13091355419169207,False
F4,-1.124293771128054,0.2619483460125422,0.8534778014455435,-0.12393072192598457,False
FT8,-1.0331873990053606,0.3025638549652222,0.8534778014455435,-0.11612924703739846,False
FT9,-1.0086900466248772,0.31422969954273433,0.8534778014455435,-0.11611579015821266,False
FC2,-1.039627651047325,0.2995316596289086,0.8534778014455435,-0.11567065530389282,False
AF8,-0.9767573426292744,0.32962022717083905,0.8534778014455435,-0.10776572781636226,False
AFZ,-1.0161859017647,0.31037605053372186,0.8534778014455435,-0.10732887151138283,False
FC4,-0.990061491289934,0.3230050505933005,0.8534778014455435,-0.10632251499012528,False
F2,-0.9397532574530306,0.34818558985184217,0.8534778014455435,-0.10183906018954739,False
FCZ,-0.8806736336405647,0.3793766644438882,0.8534778014455435,-0.09880653453142009,False
F9,-0.840299808586531,0.40151372573983174,0.8534778014455435,-0.09207573922415926,False
C4,-0.8231052832761151,0.411201392578598,0.8534778014455435,-0.0901085268157521,False
PO8,-0.8675152272304198,0.38630918361081446,0.8534778014455435,-0.08928790396675099,False
PO10,-0.8012282060431247,0.42356480637418303,0.8534778014455435,-0.08116636564103157,False
C2,-0.7306990759003726,0.465535299007428,0.8534778014455435,-0.07680506602952299,False
CZ,-0.6969333644357026,0.48643948904742673,0.8534778014455435,-0.07531486851627163,False
FP2,-0.6686145527285579,0.5042584211369161,0.8534778014455435,-0.07032184549175907,False
OZ,-0.6740833966964886,0.5007635382591772,0.8534778014455435,-0.07020580653098178,False
FPZ,-0.6611095618689906,0.5090570215598286,0.8534778014455435,-0.06972341761850294,False
T8,-0.6653107014235772,0.5063478253816334,0.8534778014455435,-0.06922788029842383,False
T7,-0.6264922713591103,0.5315551725449833,0.8534778014455435,-0.06910198640043677,False
F6,-0.6485789358579146,0.5171020409983758,0.8534778014455435,-0.06790722291320204,False
F10,-0.6384540590670469,0.5236587061647197,0.8534778014455435,-0.06676633231286996,False
F7,-0.6264878710888563,0.5314753914141844,0.8534778014455435,-0.06594455966801425,False
O1,-0.6530172306914427,0.514174375045564,0.8534778014455435,-0.06529541812655097,False
TP9,-0.5977463487546641,0.5504520682097632,0.8534778014455435,-0.06242360966595636,False
FT7,-0.585598528797475,0.5586067516415122,0.8534778014455435,-0.062349193278649004,False
AF3,-0.592312448988205,0.5540753148735741,0.8534778014455435,-0.06167454017648675,False
AF4,-0.5512451702396549,0.5818670423329366,0.8534778014455435,-0.057500329582776476,False
