band,channel,t,p,FDR_p,significant,Cohens_d
theta,FP1,-0.9450364223522374,0.34523264543514476,0.34523264543514476,False,-0.09056387589496677
theta,FPZ,-1.7449477904347526,0.08178035574224578,0.09101362171314449,False,-0.16563914152819653
theta,FP2,-2.2510388014616924,0.024945493110371156,0.03187479675214092,True,-0.2155490129008524
theta,AF7,-1.9655500535004067,0.05006348155254987,0.05854881740891425,False,-0.18750191436125788
theta,AF3,-1.5170455364910198,0.13006711742271032,0.14022861097135955,False,-0.1444165943828051
theta,AFZ,-1.194337952005231,0.23308467875333153,0.2400424303579086,False,-0.1148207329144189
theta,AF4,-2.6226203910308397,0.009172529289544103,0.014718709790198677,True,-0.2756062555115664
theta,AF8,-3.162358297104109,0.0017172671784012174,0.004346370411851014,True,-0.3271053376520068
theta,F9,-3.0876514069384267,0.0021808446853103687,0.004803108294431436,True,-0.3101144315384458
theta,F7,-3.4796901068164936,0.0005709605805317451,0.0018760133360328766,True,-0.3572743442881766
theta,F5,-3.391208044129625,0.0007797629335706324,0.0022584221335124758,True,-0.3449931369271829
theta,F3,-3.103231289955053,0.0020730630245177285,0.0047680449563907755,True,-0.3122488957947681
theta,F1,-3.0808540341920216,0.0022275284843739996,0.004803108294431436,True,-0.3079187053428309
theta,FZ,-2.818772279786241,0.005091465572524564,0.00894315936941435,True,-0.28045698202887714
theta,F2,-2.3633915266080376,0.01862060252015018,0.025696431477807247,True,-0.23029268539286196
theta,F4,-2.7416220621117895,0.0064584675907198045,0.01086912838438211,True,-0.2825180626777078
theta,F6,-3.055057976391273,0.0024882122623515975,0.00517291175792218,True,-0.33622065186266065
theta,F8,-3.004184150592657,0.0029077957711238756,0.005573275227987428,True,-0.3234377707883682
theta,F10,-3.8765527200150833,0.0001349481025552934,0.0009454257849630499,True,-0.4274688228205663
theta,FT9,-3.818600707822247,0.00016563137498146305,0.0009454257849630499,True,-0.41042002159120955
theta,FT7,-4.171767422863902,4.04863817125672e-05,0.0007387627891047186,True,-0.4484846852426212
theta,FC5,-4.159242290176435,4.282682835389673e-05,0.0007387627891047186,True,-0.4492718156219203
theta,FC3,-3.768211541188208,0.00019831963787584917,0.0009454257849630499,True,-0.39693256902937435
theta,FC1,-3.758357598917655,0.00020552734455718476,0.0009454257849630499,True,-0.3946362232129688
theta,FCZ,-3.7826399217045297,0.0001874955874433702,0.0009454257849630499,True,-0.3978671660221425
theta,FC2,-3.726497475211004,0.00023405644459355027,0.0010093684173096856,True,-0.39713078335507795
theta,FC4,-3.876836040229076,0.00013850392405097614,0.0009454257849630499,True,-0.4419141259345417
theta,FC6,-3.1734369340039463,0.0017331962620268304,0.004346370411851014,True,-0.37125637004925327
theta,FT8,-3.1442714625579415,0.0018491804832712108,0.004399774253300467,True,-0.3396648518304365
theta,FT10,-3.49165509185636,0.0005550858023212941,0.0018760133360328766,True,-0.37073570831544944
theta,T7,-4.2206192793810695,3.3160840878073336e-05,0.0007387627891047186,True,-0.45511271928395014
theta,C5,-4.337775226441662,2.0122051330579623e-05,0.0007387627891047186,True,-0.46507032064357146
theta,C3,-3.8207483678254937,0.000161941981287313,0.0009454257849630499,True,-0.4019813167807124
theta,C1,-3.7801751973523476,0.00018924191707950675,0.0009454257849630499,True,-0.39749421476399827
theta,CZ,-3.8619493407155567,0.00013962485814577585,0.0009454257849630499,True,-0.4132333000518144
theta,C2,-3.592186933338597,0.00039563562787747747,0.0016058151955027026,True,-0.3994299469520011
theta,C4,-3.5272601466722207,0.0005111368392255167,0.0018562337845558238,True,-0.40643554767128487
theta,C6,-1.4485354762046918,0.14841310701271734,0.15754622129042303,False,-0.1475011294681022
theta,T8,-2.2196464306954744,0.027210717848630363,0.034137082391918094,True,-0.23492523362645026
theta,TP9,-3.0442563479695743,0.00254897101115006,0.00517291175792218,True,-0.3239140179435889
theta,TP7,-3.770022773454874,0.00019970656283012603,0.0009454257849630499,True,-0.405838204561193
theta,CP5,-3.912289477930146,0.00011415120296207014,0.0009454257849630499,True,-0.4159287456055477
theta,CP3,-3.5410446189204694,0.00046031701733533967,0.0017645485664521355,True,-0.3691689479871477
theta,CP1,-3.4207927705436276,0.000709268599114334,0.002224524242676775,True,-0.357112575368848
theta,CPZ,-3.3940868299319957,0.0007855381333956437,0.0022584221335124758,True,-0.36106212686792133
theta,CP2,-3.223076978692383,0.001419055447907679,0.003916593036225194,True,-0.3459694041225466
theta,CP4,-2.2803557712743614,0.023218109607020723,0.030748957490144647,True,-0.23180992705959108
theta,CP6,-1.7144831390219595,0.08725426724652609,0.09556419746048096,False,-0.1654462622448645
theta,TP8,-1.7481654232930324,0.0814868062215867,0.09101362171314449,False,-0.1850591239837182
theta,TP10,-2.3109427288761815,0.021501628282544653,0.02909043826461924,True,-0.241327990438738
theta,P7,-3.0335669713020352,0.0026308809112355327,0.005186593796435764,True,-0.31970628003907847
theta,P5,-3.155206547990641,0.0017637445149540347,0.004346370411851014,True,-0.3295535730714868
theta,P3,-2.987570162470598,0.003037560686632735,0.005664640199396181,True,-0.31100540034052215
theta,P1,-2.9324046490847326,0.0036201274468371306,0.006573389311362158,True,-0.3070735102275426
theta,PZ,-2.8171559030819773,0.0051844402141532474,0.00894315936941435,True,-0.3004984476025682
theta,P2,-2.275382715336397,0.023618764448951685,0.030748957490144647,True,-0.2419286703951206
theta,P4,-1.7702850177726983,0.07758624817890195,0.08922418540573723,False,-0.1794239437580983
theta,P6,-2.0112506382558717,0.045140668872156696,0.05370183020997952,False,-0.20733660844630086
theta,P8,-2.0452046577321337,0.04166945854948348,0.05134272571275643,False,-0.2119226891573469
theta,PO9,-2.39819715619568,0.017034320525844214,0.02398710441394389,True,-0.24499367572054082
theta,PO7,-2.720658181434047,0.006899715160321187,0.011335246334813377,True,-0.286593100349407
theta,PO3,-2.4840765765178086,0.013638662430806003,0.019609043388429125,True,-0.27449152203845467
theta,POZ,-2.577122340844658,0.010467866201537598,0.016415517452411234,True,-0.275091769837647
theta,PO4,-2.025977075498973,0.04349177566942684,0.05264793896825354,False,-0.19901992105677765
theta,PO8,-2.5252488510286946,0.012046735893274797,0.018471661703021357,True,-0.26039068940625415
theta,PO10,-2.4812172895490527,0.013641073661515913,0.019609043388429125,True,-0.2605022900205975
theta,O1,-2.4905798690840104,0.01332070663433353,0.019609043388429125,True,-0.265203306509269
theta,OZ,-1.2823293549754309,0.20048936664784123,0.20960251967728855,False,-0.12194008648736371
theta,O2,-1.067673921345537,0.2863360575950235,0.2905468819714209,False,-0.10229811201043348
