channel,t,p,p_fdr,cohens_d,significant_fdr
FC5,-4.441667731857762,1.3066993181878763e-05,0.0004508112647748173,-0.48214761210602747,True
C5,-4.481680120632551,1.0746849952604634e-05,0.0004508112647748173,-0.4781067733870175,True
FT7,-4.302602490865994,2.3557867645829608e-05,0.0004563645587002814,-0.4648579578059069,True
C3,-4.264268340843281,2.7037985565775108e-05,0.0004563645587002814,-0.45007812960576643,True
C1,-4.198507535317576,3.558354776261997e-05,0.0004563645587002814,-0.44267223916076137,True
FC3,-4.136038596768094,4.6297853781187975e-05,0.0004563645587002814,-0.4383560816513032,True
FC1,-4.134983981416104,4.6288029835726495e-05,0.0004563645587002814,-0.4359608667385248,True
FC4,-3.837940294467168,0.0001600725307857296,0.0007376906578362301,-0.43503974784173893,True
FCZ,-4.0716319357872,6.012640251890035e-05,0.0005185902217255155,-0.43056291385983214,True
CZ,-3.9517787965474898,9.805288636825176e-05,0.0006590769265808892,-0.4222615188390067,True
FT9,-3.9004130502362493,0.00012093451270253481,0.0006590769265808892,-0.42092443150015,True
F10,-3.800119705716091,0.00018136265764676974,0.0007376906578362301,-0.4199289388005332,True
FC2,-3.913807664486558,0.00011417909419105142,0.0006590769265808892,-0.4195951573365722,True
T7,-3.8903553647149782,0.0001241739137036458,0.0006590769265808892,-0.4125002292339098,True
CP3,-3.898783589162714,0.00011980435755104158,0.0006590769265808892,-0.41176204783451864,True
CP1,-3.8068294677349805,0.00017070567036949413,0.0007376906578362301,-0.39987547007574953,True
F7,-3.774847513640537,0.00019244104117466872,0.0007376906578362301,-0.39454138806076317,True
C2,-3.5849696077626922,0.00040306613484401973,0.0014637664896967031,-0.3935277753366579,True
F5,-3.7736959453312675,0.00019214893333153215,0.0007376906578362301,-0.39039087004064027,True
C4,-3.3977527634618707,0.0007995255566644307,0.002206690536393829,-0.3850537543206303,True
CPZ,-3.510234480107132,0.0005195850114619588,0.0016210603113569401,-0.3732885168127142,True
CP5,-3.532871508532336,0.0004748716668535633,0.001600431277829593,-0.369433240377078,True
FC6,-3.161469251352264,0.0017935556037438824,0.003922254319145522,-0.36542284706639105,True
F3,-3.523026346490114,0.0004870877802090066,0.001600431277829593,-0.35974981144260104,True
F1,-3.4936010057088853,0.00054035343711898,0.0016210603113569401,-0.354127821170751,True
F9,-3.423885279330301,0.0006958199087536428,0.002000482237666723,-0.3500223778615007,True
F6,-3.151844908682196,0.0018190164958356045,0.003922254319145522,-0.3485399162938757,True
AF8,-3.3196589774787695,0.001012334205417544,0.0026865792374542513,-0.34841986855348356,True
FT10,-3.2841863801307687,0.0011443007103814585,0.0029243240376415048,-0.3452106674829429,True
P1,-3.226489965574835,0.0013920450011681287,0.003312107071744858,-0.33898670294561534,True
P3,-3.197083409749041,0.0015334756263324742,0.0035269939405646908,-0.3337100140732942,True
CP2,-3.049250771070671,0.0025115264817011447,0.005251373552647848,-0.3258445296961763,True
PZ,-3.039928658679141,0.002589076824127356,0.005254302966611398,-0.3252995981297432,True
FZ,-3.2250563607570055,0.0013804495659671555,0.003312107071744858,-0.32448725847611726,True
F8,-2.8895310844100233,0.004166399633147399,0.007769772288842447,-0.31156534941694397,True
F4,-2.9521060779892987,0.0034016710999929377,0.0065198696083197975,-0.3086187587499907,True
TP7,-2.9527476964164845,0.0033864302135853306,0.0065198696083197975,-0.3055013596139316,True
FT8,-2.8256154770309405,0.005060946165300846,0.00873013213514396,-0.30340742034659235,True
POZ,-2.7644114099195547,0.006107638818663385,0.010278709231409111,-0.3021062023750473,True
PO3,-2.692039684892833,0.007580240705288822,0.012453252587260207,-0.2980538855606852,True
P5,-2.872452059730089,0.004338127728117856,0.007877126664214001,-0.2934020526319174,True
PO7,-2.832167038075379,0.004920055913154234,0.00870471430788826,-0.2927036573751332,True
AF4,-2.6315389708261554,0.008947336545187885,0.014031050491317365,-0.27777596605190313,True
O1,-2.5153147502167683,0.01242316317229429,0.018634744758441436,-0.2653089929756351,True
F2,-2.6722050463226967,0.00787377448292193,0.0126346613795724,-0.26299105937656536,True
P2,-2.359604751514076,0.018994284979336258,0.025698150266160822,-0.2542964014039382,True
TP9,-2.470772016809075,0.013996427299263854,0.01970925476835114,-0.25340400937076224,True
PO10,-2.4744063025287084,0.013848587779169006,0.01970925476835114,-0.25236824514162054,True
P7,-2.486712202200791,0.013379136321379303,0.019641710769684507,-0.25224742416453905,True
FP2,-2.588180563197865,0.010022562834379216,0.015367929679381463,-0.25129508712198395,True
PO8,-2.4336746232543187,0.015454945266795072,0.0213278244681772,-0.2447178909937112,True
PO4,-2.2841145630295885,0.02294383951824148,0.029870281636955893,-0.2255207852963725,True
AF7,-2.32348962041014,0.020680338129289533,0.027441217902326495,-0.22448825390509433,True
PO9,-2.17118832066708,0.030579540269636833,0.03907385701120262,-0.21596875837946708,True
CP4,-2.0924606414600184,0.03714080367379946,0.04659482642713023,-0.21148341687786196,True
P4,-1.9120803904288826,0.05680030671238781,0.06642747734160608,-0.19962714133314755,False
TP10,-1.9155084617059663,0.05626437792941574,0.06642747734160608,-0.19324219718768676,False
P8,-1.9147429602978336,0.05635750146903477,0.06642747734160608,-0.19278429214166587,False
T8,-1.857635851117156,0.06414760621802529,0.07376974715072908,-0.19179904797824632,False
FPZ,-1.9593706736628735,0.050784919970435015,0.06257427639214314,-0.18688360670366785,False
P6,-1.7627256270001288,0.0788354230434639,0.08813488439343968,-0.17730531390968476,False
AF3,-1.7600448503502675,0.07919366423758348,0.08813488439343968,-0.1686470775029344,False
CP6,-1.5621644684356748,0.11907255151502341,0.1304127945164542,-0.14994258353493634,False
TP8,-1.4424239249196,0.15015107537856567,0.1593911415557082,-0.14803931476085075,False
OZ,-1.4746238609274256,0.14112570971075855,0.15215115578191157,-0.1407916025639943,False
AFZ,-1.3060439066595775,0.19232633477793804,0.20106844090420795,-0.12601182234189737,False
O2,-1.2119118050858948,0.22629348189493353,0.23304851120523007,-0.11655261004286507,False
